[SafeArea] Time: 32.20103, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 43.59716, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 76.75465, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 78.93745, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 78.93745, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 87.50683, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 87.50683, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 87.50683, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 87.50683, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 91.58074, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 91.58074, Screen: 213x378, SafeArea: (x:0.00, y:0.00, width:213.00, height:378.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 6.931046, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 6.931046, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
